genotype,population,year,StandCountMetric,TotalCount,PeakCount,PeakDAP,StartCount,EndCount,StartDAP,EndDAP,Duration,LastEffectiveFlowerCount,LastEffectiveFlowerPercent,ElongationPct,FiberStrength,FiberUniformityIndexPct,LintPct,LintYield,MicronaireUnits,SeedYield,ShortFiberContentPct,UpperHalfMeanLen
'992204105002,Training,2024,6.657207706333333,317.6666666666667,84.33333333333333,90,15.883333333333333,301.7833333333333,71,105.33333333333333,34.333333333333336,301,0.9414484363933392,6.866666666666666,31.3,85.86666666666666,42.77666666666667,1290.95,4.653333333333333,8224.333333333334,5.1,1.1906666666666668
'992204105004,Training,2024,5.896932094333334,407,113,88.66666666666667,20.35,386.65,69.33333333333333,106.66666666666667,37.333333333333336,380.6666666666667,0.9353201096597322,7.866666666666667,30.333333333333332,85.3,43.233333333333334,1310.5533333333333,5.223333333333334,8270,5.766666666666667,1.1136666666666666
'992204105006,Training,2024,0.8295655866666667,199.33333333333334,74.66666666666667,95,9.966666666666667,189.36666666666667,74,103,29,189.66666666666666,0.9474740488520016,NA,NA,NA,NA,NA,NA,2177,NA,NA
'992204105007,Training,2024,6.775002796666667,436.6666666666667,130,95,21.833333333333336,414.8333333333333,71,106.66666666666667,35.666666666666664,405.3333333333333,0.9266745816931479,5.8,32.46666666666667,85.3,42.99666666666667,1299.8066666666666,4.776666666666666,8255,5.6,1.2376666666666667
'992204105009,Training,2024,5.542402631666667,360.6666666666667,65.66666666666667,88,18.033333333333335,342.6333333333333,68.33333333333333,108,39.666666666666664,326,0.9003844512393714,6.266666666666667,30.833333333333332,85.36666666666667,44.873333333333335,1094.16,5.12,6652,5.466666666666667,1.2023333333333333
'992204105010,Training,2024,6.144086983666667,405.6666666666667,102.66666666666667,86.33333333333333,20.283333333333335,385.3833333333333,71,103,32,387.6666666666667,0.952671789924497,6.4,31.666666666666668,85.86666666666666,43.69,1272.25,4.569999999999999,7937.333333333333,4.833333333333333,1.2506666666666666
'992204105011,Training,2024,6.184336232,402.6666666666667,122.33333333333333,95,20.133333333333333,382.5333333333333,69.33333333333333,106.66666666666667,37.333333333333336,376,0.9270202430517177,7.066666666666666,32.266666666666666,85.36666666666666,43.08,1188.1633333333334,5.026666666666666,7529,4.933333333333334,1.2326666666666666
'992204105012,Training,2024,7.089396203333333,343.6666666666667,107.66666666666667,94.33333333333333,17.183333333333334,326.48333333333335,72,105.33333333333333,33.333333333333336,325.3333333333333,0.9382225038877066,6.766666666666667,32.233333333333334,86,40.07666666666667,1315.9433333333334,5.0600000000000005,8965.666666666666,5.166666666666667,1.2063333333333333
'992204105014,Training,2024,3.8007782839999997,434.3333333333333,102.66666666666667,93.66666666666667,21.716666666666665,412.6166666666667,71,106.66666666666667,35.666666666666664,399.6666666666667,0.9154063227940453,6.866666666666666,30.566666666666666,86.66666666666667,41.27333333333333,643.7,5.093333333333334,4233,5.666666666666667,1.2133333333333334
'992204105015,Training,2024,5.106776077666667,439.3333333333333,116.66666666666667,96,21.966666666666665,417.3666666666667,73,105.66666666666667,32.666666666666664,413.6666666666667,0.9338973644994641,7.1,31.033333333333335,84.96666666666667,43.663333333333334,993.8233333333334,5.096666666666667,6183.666666666667,5.2,1.1456666666666666
'992204105017,Training,2024,4.448629656666666,501.6666666666667,194.33333333333334,91.33333333333333,25.083333333333336,476.5833333333333,74.33333333333333,99.33333333333333,25,480.3333333333333,0.9598569029136693,6.5,31.9,85.26666666666667,40.026666666666664,916.9466666666666,4.403333333333333,6244,5.333333333333333,1.2226666666666666
'992204105019,Training,2024,5.893131230333333,449,133,90.66666666666667,22.45,426.55,75.33333333333333,103,27.666666666666668,425.3333333333333,0.9395749504255917,6.433333333333334,33.733333333333334,87.66666666666667,40.81666666666666,1121.3133333333333,4.74,7498.666666666667,4.566666666666666,1.2576666666666667
'992204105020,Training,2024,5.739932467666667,471.6666666666667,126.33333333333333,87.66666666666667,23.583333333333336,448.0833333333333,69.33333333333333,105.33333333333333,36,432,0.9039323842929156,6.8,30.866666666666667,86.16666666666667,42.50666666666667,1277.24,4.6899999999999995,8239.666666666666,5.3999999999999995,1.1956666666666667
'992204105021,Training,2024,6.882722558666667,392.6666666666667,112,90,19.633333333333333,373.0333333333333,72,103,31,374.6666666666667,0.9494504140662418,6.8,30.433333333333334,85.36666666666666,42.96,1147.2066666666667,4.53,7287,5.033333333333333,1.2506666666666666
